time_s,x_0,x_1,x_2,x_3,d_0,d_1,d_2,d_3,u_0,u_1,u_2,u_3,a_0,a_1,a_2,a_3,e_0,e_1,e_2,e_3
4.000000000000000083e-02,4.876408038572320192e-01,1.268811921099026740e+00,-2.048637802856753343e+00,-6.993211642370766867e-01,4.619499622879737200e-02,-1.745429481449105660e-02,3.747977957575595459e-02,3.778353770523787056e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.619499622879737200e-02,-1.745429481449105660e-02,3.747977957575595459e-02,3.778353770523787056e-03
4.050000000000000128e-02,4.970414768285905671e-01,9.579045330497226729e-01,-8.669517657280205736e-01,-1.544109379429985829e+00,1.248867273969235872e-02,-3.229121938598553121e-02,5.300278915700675636e-02,2.629042573131236057e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.248867273969235872e-02,-3.229121938598553121e-02,5.300278915700675636e-02,2.629042573131236057e-02
4.100000000000000172e-02,-3.042559770665627106e-01,5.901607357279470278e-01,4.372962771857072384e-01,-1.877347582074124999e+00,-3.652526159371183301e-02,-4.607324586039686365e-02,7.053312078439252786e-02,4.576141945320385401e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.652526159371183301e-02,-4.607324586039686365e-02,7.053312078439252786e-02,4.576141945320385401e-02
4.150000000000000216e-02,-1.283451834264662805e+00,4.077399373991994480e-01,7.828773956437127257e-01,-1.599395481192859236e+00,-5.739867029466459714e-02,-5.489967470079991363e-02,6.929729952874011389e-02,4.320898667632024071e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.739867029466459714e-02,-5.489967470079991363e-02,6.929729952874011389e-02,4.320898667632024071e-02
4.200000000000000261e-02,-1.793351778037987065e+00,5.376025006590631206e-01,-4.721531067208040167e-02,-8.338531560086753780e-01,-3.487195254291011043e-02,-5.950658831905609319e-02,3.716761853339817928e-02,2.135201446580065748e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.487195254291011043e-02,-5.950658831905609319e-02,3.716761853339817928e-02,2.135201446580065748e-02
4.250000000000000305e-02,-1.682239309549303341e+00,8.226956146305047790e-01,-1.194415294703951691e+00,6.365790300476917296e-02,2.344380682800987353e-02,-5.545771154139682302e-02,-3.921519639146669664e-03,-8.476744867925921703e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.344380682800987353e-02,-5.545771154139682302e-02,-3.921519639146669664e-03,-8.476744867925921703e-03
4.299999999999999656e-02,-1.219393803525057551e+00,8.979028489027967019e-01,-1.520035390738829095e+00,6.333411516221387760e-01,6.513550159272868401e-02,-4.612424585753310824e-02,-3.007100920350228371e-02,-1.740836199263135625e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.513550159272868401e-02,-4.612424585753310824e-02,-3.007100920350228371e-02,-1.740836199263135625e-02
4.349999999999999700e-02,-6.564740792667143054e-01,5.070101134181962399e-01,-6.558452167401578325e-01,6.286476378258381015e-01,6.058642567617411601e-02,-2.729320942799066257e-02,-3.054424539295345215e-02,3.356540553164272939e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.058642567617411601e-02,-2.729320942799066257e-02,-3.054424539295345215e-02,3.356540553164272939e-03
4.399999999999999745e-02,1.398920577576335568e-02,-2.125811979927654805e-01,6.883244918680591073e-01,2.518333438643474698e-01,2.048704049827084969e-02,1.409012379099745587e-03,-1.592506603362829967e-02,3.227479429613157313e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.048704049827084969e-02,1.409012379099745587e-03,-1.592506603362829967e-02,3.227479429613157313e-02
4.449999999999999789e-02,8.323358440313032292e-01,-7.782692685299263946e-01,1.431767592872471573e+00,6.885675676977950216e-03,-2.187442871937050198e-02,2.905036317943383503e-02,-1.360063185069526615e-02,4.777723841044807102e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.187442871937050198e-02,2.905036317943383503e-02,-1.360063185069526615e-02,4.777723841044807102e-02
